"","Time","User.full.name","Event.context","Component","Event.name","Description","Origin","IP.address"
"41","14/11/17, 14:00","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:a464:da6:8a2a:ea85"
"42","13/11/17, 22:25","1218","Assignment: Submit independent assignment","Assignment","The status of the submission has been viewed.","The user with id '79710' has viewed the submission status page for the assignment with course module id '316791'.","web","2001:7d0:87c4:a080:a5d1:4d2f:4043:91c3"
"43","13/11/17, 22:25","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:a5d1:4d2f:4043:91c3"
"44","13/11/17, 15:45","1218","URL: Syllabus info SVHI.06.010 (17/18 A OU deg. st)","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '313925'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"45","13/11/17, 15:19","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '328928' in the forum with course module id '342142'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"46","13/11/17, 15:19","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '342142'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"47","13/11/17, 15:19","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"48","13/11/17, 15:19","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '355422'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"49","13/11/17, 15:19","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '336269' in the forum with course module id '355422'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"50","13/11/17, 15:18","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '336272' in the forum with course module id '355422'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"51","13/11/17, 15:18","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '355422'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"52","13/11/17, 15:18","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"53","13/11/17, 15:12","1218","URL: Syllabus info SVHI.06.010 (17/18 A OU deg. st)","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '313925'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"54","13/11/17, 15:11","1218","URL: Slides on the assignment","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '316788'.","web","2001:7d0:87c4:a080:78fa:235:ddc9:ef78"
"55","22/10/17, 16:26","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:6087:c250:7aac:52ae"
"56","22/10/17, 16:25","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c4:a080:6087:c250:7aac:52ae"
"57","19/10/17, 11:59","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '328928' in the forum with course module id '342142'.","web","193.40.10.90"
"58","19/10/17, 11:59","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '342142'.","web","193.40.10.90"
"59","17/10/17, 15:14","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '328928' in the forum with course module id '342142'.","web","193.40.194.221"
"60","17/10/17, 15:14","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '342142'.","web","193.40.194.221"
"61","17/10/17, 15:14","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.194.221"
"62","17/10/17, 15:13","1218","Forum: Discussions on independent assignment","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '316785'.","web","193.40.194.221"
"63","17/10/17, 15:12","1218","URL: Slides on the assignment","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '316788'.","web","193.40.194.221"
"64","17/10/17, 15:08","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.194.221"
"65","2/10/17, 15:55","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '342142'.","web","193.40.10.90"
"66","2/10/17, 15:55","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '328928' in the forum with course module id '342142'.","web","193.40.10.90"
"67","30/09/17, 16:39","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:87c3:fd80:f07b:a885:a825:f1f"
"68","30/09/17, 15:23","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '328928' in the forum with course module id '342142'.","web","2001:7d0:87c3:fd80:560:ca46:64e5:aeef"
"69","29/09/17, 16:11","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '328928' in the forum with course module id '342142'.","web","193.40.10.90"
"70","29/09/17, 16:11","1218","Forum: Forum","Forum","Post created","The user with id '79710' has created the post with id '892998' in the discussion with id '328928' in the forum with course module id '342142'.","web","193.40.10.90"
"71","29/09/17, 16:11","1218","Forum: Forum","Forum","Discussion subscription created","The user with id '79710' subscribed the user with id '79710' to the discussion  with id '328928' in the forum with the course module id '342142'.","web","193.40.10.90"
"72","29/09/17, 16:11","1218","Forum: Forum","Forum","Some content has been posted.","The user with id '79710' has posted content in the forum post with id '892998' in the discussion '328928' located in the forum with course module id '342142'.","web","193.40.10.90"
"73","29/09/17, 15:16","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '328928' in the forum with course module id '342142'.","web","193.40.10.90"
"74","29/09/17, 15:16","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '342142'.","web","193.40.10.90"
"75","29/09/17, 15:16","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"76","27/09/17, 21:15","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '328928' in the forum with course module id '342142'.","web","193.40.10.90"
"77","27/09/17, 21:15","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '342142'.","web","193.40.10.90"
"78","27/09/17, 21:14","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"79","14/09/17, 15:46","1218","Forum: Forum","Forum","Discussion viewed","The user with id '79710' has viewed the discussion with id '328902' in the forum with course module id '342033'.","web","2001:7d0:4984:5580:c55a:adcd:f792:900c"
"80","14/09/17, 15:46","1218","Forum: Forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '342033'.","web","2001:7d0:4984:5580:c55a:adcd:f792:900c"
"81","14/09/17, 15:46","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:4984:5580:c55a:adcd:f792:900c"
"82","14/09/17, 15:02","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","2001:7d0:4984:5580:c55a:adcd:f792:900c"
"83","13/09/17, 21:06","1218","URL: Slides on the assignment","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '316788'.","web","193.40.10.90"
"84","13/09/17, 21:06","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"85","13/09/17, 21:06","1218","Forum: Discussions on independent assignment","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '316785'.","web","193.40.10.90"
"86","13/09/17, 21:06","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"87","13/09/17, 21:04","1218","Folder: Additional reading materials","Folder","Course module viewed","The user with id '79710' viewed the 'folder' activity with course module id '316770'.","web","193.40.10.90"
"88","13/09/17, 21:04","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"89","13/09/17, 21:04","1218","Other","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '338380'.","web","193.40.10.90"
"90","13/09/17, 21:04","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
