Time,Event context,Component,Event name,Description,Origin,IP address
"14/09/17, 17:04",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342142'.,web,90.191.83.102
"14/09/17, 17:04",Forum: Forum,Forum,Discussion subscription created,The user with id '79398' subscribed the user with id '79398' to the discussion  with id '328929' in the forum with the course module id '342142'.,web,90.191.83.102
"14/09/17, 17:04",Forum: Forum,Forum,Discussion created,The user with id '79398' has created the discussion with id '328929' in the forum with course module id '342142'.,web,90.191.83.102
"14/09/17, 17:04",Forum: Forum,Forum,Some content has been posted.,The user with id '79398' has posted content in the forum post with id '876043' in the discussion '328929' located in the forum with course module id '342142'.,web,90.191.83.102
"14/09/17, 17:03",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342142'.,web,90.191.83.102
"14/09/17, 17:03",Forum: Forum,Forum,Discussion subscription created,The user with id '79398' subscribed the user with id '79398' to the discussion  with id '328928' in the forum with the course module id '342142'.,web,90.191.83.102
"14/09/17, 17:03",Forum: Forum,Forum,Discussion created,The user with id '79398' has created the discussion with id '328928' in the forum with course module id '342142'.,web,90.191.83.102
"14/09/17, 17:03",Forum: Forum,Forum,Some content has been posted.,The user with id '79398' has posted content in the forum post with id '876042' in the discussion '328928' located in the forum with course module id '342142'.,web,90.191.83.102
"14/09/17, 17:02",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342142'.,web,90.191.83.102
"14/09/17, 17:02",Forum: Forum,Forum,Discussion subscription created,The user with id '79398' subscribed the user with id '79398' to the discussion  with id '328925' in the forum with the course module id '342142'.,web,90.191.83.102
"14/09/17, 17:02",Forum: Forum,Forum,Discussion created,The user with id '79398' has created the discussion with id '328925' in the forum with course module id '342142'.,web,90.191.83.102
"14/09/17, 17:02",Forum: Forum,Forum,Some content has been posted.,The user with id '79398' has posted content in the forum post with id '876039' in the discussion '328925' located in the forum with course module id '342142'.,web,90.191.83.102
"14/09/17, 17:02",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342142'.,web,90.191.83.102
"14/09/17, 17:02","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 17:02",Forum: Forum,System,Course module created,The user with id '79398' created the 'forum' activity with course module id '342142'.,web,90.191.83.102
"14/09/17, 17:01",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 17:01","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 17:01","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 17:01","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course section updated,The user with id '79398' updated section number '5' for the course with id '4880',web,90.191.83.102
"14/09/17, 17:00","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 17:00","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course section updated,The user with id '79398' updated section number '5' for the course with id '4880',web,90.191.83.102
"14/09/17, 17:00","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 17:00","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course section updated,The user with id '79398' updated section number '6' for the course with id '4880',web,90.191.83.102
"14/09/17, 16:59","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 16:59","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 16:59",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 16:59","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 16:59",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328903' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 16:43",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328903' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 16:43",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 16:42","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 16:40",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328903' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 16:40",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 15:46",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328902' in the forum with course module id '342033'.,web,90.191.83.102
